Subject Code,Subject Title,Faculty / School
GEOG,Geography,Faculty of Arts
GEOS,Geographical Sciences,Faculty of Arts
GERN,German,Faculty of Arts
GMST,German Studies,Faculty of Arts
GREK,Greek,Faculty of Arts
GRS,Global Resource Systems,Faculty of Land and Food Systems
GRSJ,Gender, Race, Sexuality and Social Justice,Faculty of Arts
GSAT,Genome Science and Technology,Faculty of Science
HEBR,Hebrew,Faculty of Arts
HESO,Health and Society,Faculty of Arts
HGSE,Haida Gwaii Semesters,Faculty of Forestry
HINU,Hindi-Urdu,Faculty of Arts
HIST,History,Faculty of Arts
HPB,High Performance Buildings,Faculty of Applied Science
HUNU,Human Nutrition,Faculty of Land and Food Systems
IAR *,Institute of Asian Research,Faculty of Arts
IEST *,European Studies,Faculty of Arts
IGEN,Integrated Engineering,Faculty of Applied Science
ILS *,Indigenous Land Stewardship,Faculty of Forestry
INDO *,Indonesian,Faculty of Arts
INDS,Interdisciplinary Studies,Faculty of Grad and Pdoc Studies
INFO,Information Studies,Faculty of Arts
INLB,Indigenous Land-Based Studies,Faculty of Arts
ISCI,Integrated Sciences,Faculty of Science
ITAL,Italian,Faculty of Arts
IWME,Integrated Water Management Engineering,Faculty of Applied Science
JAPN,Japanese,Faculty of Arts
JRNL,Journalism,School of Journalism,Writing,Andmedia
KIN,Kinesiology,School of Kinesiology
KORN,Korean,Faculty of Arts
LAIS,Library, Archival and Information Studies,School of Information
LARC,Landscape Architecture,School of Arch and Landscape Arch
LASO,Law and Society,Faculty of Arts
LAST,Latin American Studies,Faculty of Arts
LATN,Latin,Faculty of Arts
LAW,Law,Peter A. Allard School of Law
LFS,Land & Food Systems,Faculty of Land and Food Systems
LIBE,Teacher Librarianship,Faculty of Education
LIBR,Library and Information Studies,School of
